,BCH-USD,BTC-USD,ETH-USD,LTC-USD,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-09 06:00:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:01:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:02:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:03:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:04:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:05:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:06:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:07:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:08:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:09:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:10:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:11:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:12:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:13:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:14:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:15:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:16:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:17:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:18:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:19:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:20:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:21:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:22:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:23:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:24:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2018-09-09 06:25:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
